Id,Label,timeset,value,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,pageranks,Authority,Hub
Haemophilus_ducreyi,Haemophilus,,3.79,336,485.960001,4,0.606259,0.693077,0.000353,3,0,0.77006,43339,0.610942,0.001272,0.035633,0.035633
Vagococcus_penaei,Vagococcus,,0,458,696.559999,3,0.678339,0.770908,0.00114,3,0,0.675862,70731,0.791142,0.001692,0.04611,0.04611
Carnobacterium_inhibens,Carnobacterium,,0,435,666.439999,3,0.665867,0.757103,0.001162,3,0,0.695047,65609,0.754475,0.001625,0.043991,0.043991
Histophilus_somni,Histophilus,,0,151,215.26,4,0.53125,0.580232,0.000732,3,0,0.832406,9427,0.251459,0.000737,0.014653,0.014653
Weissella_ceti,Weissella,,0,273,396.1,4,0.583742,0.657163,0.000316,3,0,0.79331,29454,0.481796,0.00108,0.02811,0.02811
Clostridium_isatidis,Clostridium,,0.01,385,587.46,4,0.637337,0.72609,0.000574,3,0,0.734334,54282,0.673826,0.001444,0.039302,0.039302
Aerococcus_sanguinicola,Aerococcus,,0.01,332,485.579998,4,0.610704,0.693477,0.000676,3,0,0.739799,40649,0.572552,0.001285,0.033381,0.033381
Paeniclostridium_sordellii,Paeniclostridium,,0,406,607.84,4,0.646739,0.738195,0.000836,3,0,0.713094,58627,0.71155,0.001518,0.041499,0.041499
Staphylococcus_sciuri,Staphylococcus,,0.01,456,698.04,4,0.672859,0.768307,0.000967,3,0,0.684644,71025,0.78896,0.001682,0.046006,0.046006
Lactobacillus_acidophilus,Lactobacillus,,0.01,128,179.52,4,0.519327,0.563826,0.000597,3,0,0.767224,6236,0.195999,0.000672,0.0114,0.0114
Weissella_koreensis,Weissella,,0,318,470.82,4,0.603623,0.684674,0.000596,3,0,0.774041,39014,0.561644,0.001249,0.032768,0.032768
Vibrio_breoganii,Vibrio,,0,38,55.68,4,0.45027,0.478992,0.000009,1,0,0.887624,624,0.030686,0.000365,0.001736,0.001736
Pediococcus_acidilactici,Pediococcus,,0,307,446.34,4,0.59885,0.678071,0.000959,3,0,0.708437,33276,0.510849,0.001227,0.02975,0.02975
Leuconostoc_lactis,Leuconostoc,,0,173,242.22,4,0.539159,0.593637,0.001166,0,0,0.703656,10469,0.262554,0.000844,0.015252,0.015252
Staphylococcus_hominis,Staphylococcus,,0.01,265,382.1,4,0.574087,0.64926,0.000699,0,0,0.730617,25557,0.435873,0.001096,0.025373,0.025373
Staphylococcus_simulans,Staphylococcus,,0.01,344,513.22,4,0.61658,0.70078,0.000916,3,0,0.725049,42775,0.584578,0.00134,0.034068,0.034068
Haemophilus_somnus,Haemophilus,,3.79,230,324.34,4,0.563981,0.629952,0.001336,3,0,0.764876,20143,0.386133,0.001022,0.022495,0.022495
Leuconostoc_mesenteroides,Leuconostoc,,0,229,327.3,4,0.562838,0.628952,0.000288,3,0,0.807477,21080,0.402398,0.000943,0.023464,0.023464
