Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,componentnumber,pageranks,clustering,triangles,eigencentrality,value
Acinetobacter_dispersus,Acinetobacter,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.23
Halobacillus_litoralis,Halobacillus,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.02
Pelobacter_carbinolicus,Pelobacter,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.01
Agromyces_protaetiae,Agromyces,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.06
Cellulomonas_gilvus,Cellulomonas,,17,33.88,2,0.688889,0.774194,0,17,0,0,18,0.001254,1,136,0.003424,0.15
Haemophilus_pittmaniae,Haemophilus,,7,14,1,1,1,0,18,0,0,19,0.001285,1,21,0.000874,23.92
Kingella_oralis,Kingella,,7,14,1,1,1,0,18,0,0,19,0.001285,1,21,0.000874,3.64
Streptococcus_anginosus,Streptococcus,,7,14,1,1,1,0,18,0,0,19,0.001285,1,21,0.000874,548
Mycoplasma_anseris,Mycoplasma,,7,14,1,1,1,0,18,0,0,19,0.001285,1,21,0.000874,10.28
Paeniclostridium_sordellii,Paeniclostridium,,7,14,1,1,1,0,18,0,0,19,0.001285,1,21,0.000874,0.8
Halothermothrix_orenii,Halothermothrix,,7,14,1,1,1,0,18,0,0,19,0.001285,1,21,0.000874,0.2
Acholeplasma_palmae,Acholeplasma,,7,14,1,1,1,0,18,0,0,19,0.001285,1,21,0.000874,0.83
Thermoanaerobacterium_xylanolyticum,Thermoanaerobacterium,,7,14,1,1,1,0,18,0,0,19,0.001285,1,21,0.000874,0.17
Rhodanobacter_glycinis,Rhodanobacter,,2,4,1,1,1,0,19,0,0,20,0.001285,1,1,0.000202,12.18
Neisseria_subflava,Neisseria,,2,4,1,1,1,0,19,0,0,20,0.001285,1,1,0.000202,4.09
Corynebacterium_variabile,Corynebacterium,,2,4,1,1,1,0,19,0,0,20,0.001285,1,1,0.000202,13.72
