Species;SRR3284698_CF;SRR3284701_CF;SRR3284702_CF;SRR3284703_CF;SRR3284706_CF;SRR3286490_CF;SRR3286491_CF;SRR3286492_CF;SRR3286493_CF;SRR3286494_CF;SRR3286495_CF
Cobetia marina;0;0;0;0;0;0;0;0.00016;0;0;0
Bacillaceae bacterium;0.00004;0.00004;0;0.00004;0;0;0;0;0;0;0
Chryseobacterium haifense;0;0;0;0;0;0.00008;0;0.00047;0;0;0
Arcobacter pacificus;0;0;0;0;0;0;0;0.00016;0;0;0
Parvibaculum lavamentivorans;0;0;0;0;0;0.00005;0;0.00022;0;0;0
Streptomyces lunaelactis;0;0;0;0;0;0;0.00003;0;0;0;0
Vibrio qinghaiensis;0;0;0;0;0;0;0;0;0;0;0
Campylobacter canadensis;0;0;0;0;0;0;0.00011;0.00023;0;0;0
Kosakonia oryzae;0;0;0;0;0;0;0;0.00008;0;0;0
Klebsiella michiganensis;0.00051;0;0;0;0;0;0;0;0;0;0
Xenorhabdus bovienii;0;0;0;0;0;0;0;0;0;0.00005;0
Thiomicrospira aerophila;0;0;0;0;0;0;0;0.0002;0;0;0
Pectobacterium punjabense;0;0;0;0;0.00004;0;0.00004;0;0;0;0
dahliae JR2;0.00027;0.00013;0.00007;0.00005;0.00002;0;0;0;0.00011;0.00007;0.00005
Thermocrinis albus;0;0;0;0;0;0;0;0;0;0.00014;0
Casimicrobium huifangae;0;0;0;0;0;0;0;0.00024;0;0;0
Xanthomonas phaseoli;0;0;0;0;0;0;0;0;0;0;0
Leptospira interrogans;0;0;0;0;0;0;0;0;0;0;0
Salinigranum rubrum;0;0;0;0;0;0;0;0.00015;0;0;0
Paenibacillus protaetiae;0;0.00005;0;0;0;0;0;0.0001;0;0;0
Glutamicibacter nicotianae;0;0;0;0;0.00006;0.00006;0.00006;0;0;0;0
Luteimonas chenhongjianii;0;0;0;0;0;0;0;0.00013;0;0;0
Staphylococcus saprophyticus;0;0;0;0;0;0;0;0;0;0;0
Jeotgalibaca porci;0;0.00009;0.00009;0;0;0.00019;0.00037;0.00397;0;0;0
Bacillus beveridgei;0;0;0;0;0;0.00006;0;0.00006;0;0;0
Shewanella loihica;0;0;0;0;0;0;0;0.00014;0;0;0
Vibrio fluvialis;0;0;0;0;0;0;0;0;0;0;0
Panacibacter ginsenosidivorans;0;0;0;0;0;0;0.00004;0.00008;0;0;0
Sorangium cellulosum;0;0;0;0;0;0;0;0;0;0;0.00004
Weissella soli;0;0;0;0;0;0;0;0.00052;0;0;0
Clostridium intestinale;0;0.00004;0;0;0;0;0;0.00009;0;0.00004;0.00005
Streptococcus ruminantium;0;0;0.0001;0;0;0.00021;0.00052;0.00062;0;0;0
Helicobacter pylori;0.00159;0.00013;0.00013;0;0;0;0;0;0;0;0
Bordetella hinzii;0;0;0;0;0;0;0;0;0;0;0
Streptomyces griseochromogenes;0;0;0;0;0;0;0;0.00008;0;0;0
Pantoea alhagi;0;0;0;0;0;0;0;0.0001;0;0;0
Halomonas hydrothermalis;0;0;0;0;0;0;0;0;0;0;0
Tessaracoccus flavus;0;0;0;0;0;0;0;0.00013;0;0;0
Streptomyces formicae;0;0;0.00002;0;0;0;0;0.00009;0;0.00002;0
Porphyromonas crevioricanis;0;0;0.0001;0;0;0;0.0001;0.00734;0;0.0001;0
Chryseobacterium arthrosphaerae;0;0;0;0;0;0;0;0.00008;0;0;0
Clostridium bornimense;0;0;0;0;0;0;0.00007;0;0;0;0
Rhodoluna limnophila;0;0;0;0;0;0;0;0;0;0;0
Methanosphaera stadtmanae;0;0;0;0;0;0;0;0;0;0;0
Mageeibacillus indolicus;0;0;0;0;0;0;0;0.00024;0;0;0
Oceanicoccus sagamiensis;0;0;0;0;0;0;0;0;0;0.0001;0
Rhodococcus biphenylivorans;0;0;0;0;0;0;0;0.00004;0;0;0
Acaryochloris marina;0.00003;0;0;0;0;0;0;0.00007;0;0.00003;0
Geobacillus thermodenitrificans;0;0;0;0;0;0;0;0;0;0;0
Pedobacter heparinus;0;0;0;0;0;0;0;0.00008;0;0.00004;0
Mesoplasma entomophilum;0.00026;0;0;0;0;0;0;0;0;0;0
Arthrobacter alpinus;0;0;0;0;0;0;0;0;0;0;0
Otariodibacter oris;0;0;0;0;0;0;0;0.00065;0;0;0
Croceibacter atlanticus;0;0;0;0;0;0;0;0.00022;0;0;0
Flavobacterium magnum;0.00006;0;0;0.00006;0;0;0;0.00013;0;0;0
Trichodesmium erythraeum;0;0;0;0;0;0;0.00006;0;0;0.00003;0
Lactobacillus paracollinoides;0;0;0;0;0;0;0;0;0;0;0
Bordetella pertussis;0.00011;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
Lactobacillus helsingborgensis;0;0;0;0;0;0;0;0.00023;0;0.00012;0
Chryseobacterium indoltheticum;0;0;0;0;0;0;0;0;0.00005;0;0
Pirellula staleyi;0;0;0;0;0;0;0;0.00004;0;0;0
Leptotrichia wadei;0.00018;0;0;0;0.00091;0.00053;0.00037;0.00019;0.00147;0.00053;0.00028
Herbaspirillum frisingense;0;0;0;0;0;0;0;0.00004;0;0.00004;0
Ciceribacter thiooxidans;0;0;0;0;0;0;0;0.00012;0;0;0
Methanosarcina mazei;0;0;0;0;0;0;0;0.00005;0;0;0
Silvanigrellales bacterium;0;0;0;0;0;0;0;0.00025;0;0;0
Bradyrhizobium elkanii;0;0;0;0;0.00002;0;0;0.00005;0;0;0
Sulfuriferula plumbiphila;0;0;0;0;0;0;0;0.00013;0;0;0
